date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:57	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
18:30:57	19481/19481	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2003:15:47%20GMT	https://preview.colorlib.com/theme/humanresources/	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/index.html	(from )
18:30:57	132522/132522	---M-Z	200	added ('OK')	text/css	etag:%22205aa-5c1f9cae34efe-gzip%22	https://preview.colorlib.com/theme/humanresources/css/style.css	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/css/style.css	(from https://preview.colorlib.com/theme/humanresources/)
18:30:58	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Fri,%2003%20May%202024%2001:30:58%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/humanresources/)
18:30:58	19481/19481	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2003:15:47%20GMT	https://preview.colorlib.com/theme/humanresources/index.html	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/index-2.html	(from https://preview.colorlib.com/theme/humanresources/)
18:30:58	13840/13840	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2003:15:41%20GMT	https://preview.colorlib.com/theme/humanresources/about.html	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/about.html	(from https://preview.colorlib.com/theme/humanresources/)
18:30:59	12430/12430	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2003:15:50%20GMT	https://preview.colorlib.com/theme/humanresources/services.html	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/services.html	(from https://preview.colorlib.com/theme/humanresources/)
18:31:00	11779/11779	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2003:15:44%20GMT	https://preview.colorlib.com/theme/humanresources/blog.html	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/blog.html	(from https://preview.colorlib.com/theme/humanresources/)
18:31:00	8290/8290	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2003:15:45%20GMT	https://preview.colorlib.com/theme/humanresources/contact.html	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/contact.html	(from https://preview.colorlib.com/theme/humanresources/)
18:31:01	1532/1532	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fc-5ad82f5dfec80%22	https://preview.colorlib.com/theme/humanresources/images/flaticon/svg/001-consultation.svg	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/images/flaticon/svg/001-consultation.svg	(from https://preview.colorlib.com/theme/humanresources/)
18:31:01	1847/1847	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22737-5ad82f60db340%22	https://preview.colorlib.com/theme/humanresources/images/flaticon/svg/002-discussion.svg	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/images/flaticon/svg/002-discussion.svg	(from https://preview.colorlib.com/theme/humanresources/)
18:31:01	1480/1480	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c8-5ad82f659fe80%22	https://preview.colorlib.com/theme/humanresources/images/flaticon/svg/003-turnover.svg	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/images/flaticon/svg/003-turnover.svg	(from https://preview.colorlib.com/theme/humanresources/)
18:31:02	3036151/3036151	---M--	200	added ('OK')	image/jpeg	etag:%222e53f7-5ad82e66fe5c0%22	https://preview.colorlib.com/theme/humanresources/images/hero_1.jpg	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/images/hero_1.jpg	(from https://preview.colorlib.com/theme/humanresources/)
18:31:02	423255/423255	---M--	200	added ('OK')	image/jpeg	etag:%2267557-5ad82e9d5a600%22	https://preview.colorlib.com/theme/humanresources/images/slider-1.jpg	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/images/slider-1.jpg	(from https://preview.colorlib.com/theme/humanresources/)
18:31:02	41623/41623	---M--	200	added ('OK')	image/jpeg	etag:%22a297-5ad82e7364300%22	https://preview.colorlib.com/theme/humanresources/images/person_1.jpg	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/images/person_1.jpg	(from https://preview.colorlib.com/theme/humanresources/)
18:31:02	437738/437738	---M--	200	added ('OK')	image/jpeg	etag:%226adea-5ad82e7ced980%22	https://preview.colorlib.com/theme/humanresources/images/slider-2.jpg	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/images/slider-2.jpg	(from https://preview.colorlib.com/theme/humanresources/)
18:31:03	42911/42911	---M--	200	added ('OK')	image/jpeg	etag:%22a79f-5ad82e7458540%22	https://preview.colorlib.com/theme/humanresources/images/person_2.jpg	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/images/person_2.jpg	(from https://preview.colorlib.com/theme/humanresources/)
18:31:03	787814/787814	---M--	200	added ('OK')	image/jpeg	etag:%22c0566-5ad82e80be280%22	https://preview.colorlib.com/theme/humanresources/images/slider-3.jpg	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/images/slider-3.jpg	(from https://preview.colorlib.com/theme/humanresources/)
18:31:03	38398/38398	---M--	200	added ('OK')	image/jpeg	etag:%2295fe-5ad82e754c780%22	https://preview.colorlib.com/theme/humanresources/images/person_3.jpg	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/images/person_3.jpg	(from https://preview.colorlib.com/theme/humanresources/)
18:31:03	1398/1398	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22576-5ad82f63b7a00%22	https://preview.colorlib.com/theme/humanresources/images/flaticon/svg/004-gear.svg	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/images/flaticon/svg/004-gear.svg	(from https://preview.colorlib.com/theme/humanresources/)
18:31:04	1188/1188	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224a4-5ad82f66940c0%22	https://preview.colorlib.com/theme/humanresources/images/flaticon/svg/005-conflict.svg	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/images/flaticon/svg/005-conflict.svg	(from https://preview.colorlib.com/theme/humanresources/)
18:31:04	3468/3468	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d8c-5ad82f6788300%22	https://preview.colorlib.com/theme/humanresources/images/flaticon/svg/006-meeting.svg	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/images/flaticon/svg/006-meeting.svg	(from https://preview.colorlib.com/theme/humanresources/)
18:31:04	1696/1696	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226a0-5ad82f6970780%22	https://preview.colorlib.com/theme/humanresources/images/flaticon/svg/007-brainstorming.svg	C:/Users/kk/Desktop/hr_web/preview.colorlib.com/theme/humanresources/images/flaticon/svg/007-brainstorming.svg	(from https://preview.colorlib.com/theme/humanresources/)
